name,type,lineno,args_count,complexity,docstring_len,decorators_count
AnnotatedParamWithDefaultValueError,class,22,0,0,0,0
MixedAnnotatedAndDefaultStyleError,class,38,0,0,0,0
MultipleTyperAnnotationsError,class,65,0,0,0,0
DefaultFactoryAndDefaultValueError,class,78,0,0,0,0
BashComplete,class,37,0,0,0,0
ZshComplete,class,73,0,0,0,0
FishComplete,class,124,0,0,0,0
PowerShellComplete,class,177,0,0,0,0
Shells,class,15,0,0,0,0
TyperChoice,class,9,0,0,0,0
CustomClass,class,6,0,0,0,0
CustomClass,class,4,0,0,0,0
CustomClass,class,7,0,0,0,0
CustomClassParser,class,15,0,0,0,0
CustomClass,class,5,0,0,0,0
CustomClassParser,class,13,0,0,0,0
NeuralNetwork,class,6,0,0,0,0
NeuralNetwork,class,7,0,0,0,0
NeuralNetwork,class,6,0,0,0,0
Food,class,7,0,0,0,0
Food,class,6,0,0,0,0
